Reference, Value, Footprint, Datasheet
"C8","0.1uf","CA6:c_0603",""
"C13","0.1uf","CA6:c_0603",""
"C15","0.1uf","CA6:c_0603",""
"C21","0.1uf","CA6:c_0603",""
"R25","100k","CA6:SM0603_Resistor",""
"C24","20pf","CA6:c_0603",""
"C25","20pf","CA6:c_0603",""
"R26","39R","CA6:SM0603_Resistor",""
"R27","39R","CA6:SM0603_Resistor",""
"C22","0.1uf","CA6:c_0603",""
"C11","0.1uf","CA6:c_0603",""
"C14","20pf","CA6:c_0603",""
"C17","20pf","CA6:c_0603",""
"VR1","VR","CA6:SM0603",""
"VR2","VR","CA6:SM0603",""
"F1","FUSE","CA6:SM1812",""
"C7","100uf","CA6:c_elec_6.3x5.7",""
"C9","10uf","CA6:c_1206",""
"U12","VREG_33","CA6:SOT223-5",""
"C12","0.1uf","CA6:c_0603",""
"P1","JTAG","CA6:JTAG_20021121-00010C4LF","DOCUMENTATION"
"R17","100k","CA6:SM0603_Resistor",""
"R18","100k","CA6:SM0603_Resistor",""
"R19","100k","CA6:SM0603_Resistor",""
"C3","0.1uf","CA6:c_0603",""
"J1","MICRO_USB","CA6:USB_MICRO_10118194-0001LF",""
"FB1","Ferrite Bead","CA6:SM0805",""
"FB2","Ferrite Bead","CA6:SM0805",""
"FB3","Ferrite Bead","CA6:SM0805",""
"J2","BAT_CON","CA6:Screw_Terminal_Block_2P",""
"SW2","USB/BATTERY","CA6:Switch_pcbwing_right_3a_ts-13p",""
"SW3","RESET","Buttons_Switches_SMD:SW_SPST_PTS645",""
"X8","32khz","CA6:AB26TRQ",""
"R20","100k","CA6:SM0603_Resistor",""
"SW1","ERASE","Buttons_Switches_SMD:SW_SPST_PTS645",""
"C19","0.1uf","CA6:c_0603",""
"R28","6K8+1%","CA6:SM0603_Resistor",""
"C20","20pf","CA6:c_0603",""
"R22","274R","CA6:SM0603_Resistor",""
"U16","ATSAM3X8EA-AU_LQFP-144","CA6:TQFP144","DOCUMENTATION"
"C32","10uf","CA6:c_1206",""
"C30","10uf","CA6:c_1206",""
"C2","10uf","CA6:c_1206",""
"C1","10uf","CA6:c_1206",""
"J6","AUX","CA6:IDC_50PIN(2X25)-90","DOCUMENTATION"
"C33","10uf","CA6:c_1206",""
"J5","MODULE_1","CA6:RJ45_pcbwing",""
"J3","MODULE_0","CA6:RJ45_pcbwing",""
